place_id,name,latitude,longitude
ChIJjQ4qK1OnmkcRRtPQlx6SE2s,Commercio,47.365959,8.548955
ChIJ4-Ol8zunmkcRhH8OEvDt-Lw,Obere Flühgasse,47.3502909,8.5672455
ChIJDb8QVMqgmkcRSipZmZtf6-0,Restaurant Sonnenberg,47.36737249999999,8.5676744
ChIJh3TsCVKnmkcRPPFzTrImq0M,Tiffins Asian Kitchen,47.3618925,8.5510282
ChIJe2fw0zWnmkcRj9Mb5u8C7Lg,Restaurant Marcellino Pane e Vino,47.3602056,8.565570499999998
ChIJ5fkhIUmnmkcRsKa_icA6Xwc,Blinde Kuh,47.3582664,8.557257699999997
ChIJtU0rb0mnmkcRJKDNUwwKVPQ,Neumünster,47.3595784,8.5585001
ChIJWW3Q9kinmkcRxmji3DT8vwY,Hammam Basar +Salon,47.3570583,8.5585656
ChIJlQm8oUmnmkcR8fIAiP0ebjI,Cafeteria UZH Botanischer Garten,47.3588955,8.559681
ChIJayI2Nz-nmkcRMxOGvQ7ZTvE,Spuntino,47.3546301,8.557684099999998
ChIJwVmBE0anmkcRQTZ1368tMQ0,f39,47.3546049,8.556142099999999
ChIJgQUeOEqnmkcRAdMFf9DxJx8,Restaurant Misoga,47.36141199999999,8.560882999999999
ChIJYd5OEkenmkcR1X8B0GbJIzA,Shell,47.35220889999999,8.558570399999999
ChIJiUiUL0SnmkcRLKxUk0xSn3E,RibShack,47.3528628,8.5539115
ChIJ-WSwEk6nmkcRRRTihA_uxhM,Stripped Pizza Seefeld,47.360225,8.552119
ChIJrReLCE6nmkcR7N5CTTTIN2E,Razzia,47.360761,8.551613
ChIJtZedJTWnmkcR2X_HM6lupa8,k kiosk Klusplatz,47.3640842,8.5664465
ChIJ2W5S3T6nmkcRrDutbFAPWo8,La Trattoria Blumenau,47.349054,8.563227999999999
ChIJS3s06D6nmkcR_XifUtpaysY,Ristorante La Zagra,47.3489007,8.563329300000001
ChIJnVLWAk2nmkcR5oMhv6bt4Q4,Giusi‘s Ristorante-Pizzeria,47.3637773,8.554541200000001
ChIJ84a2izynmkcRblAsn3Zdrow,EPI Park Restaurant,47.3487752,8.5682879
ChIJLeko4iahmkcRJxk7wNvoN7k,Lemon Grass,47.36618259999999,8.5572351
ChIJkYsAQrOgmkcRaYFAcan6wbQ,Europa Restaurant & Live Music,47.36664500000001,8.557582
ChIJNcUSRVKnmkcRNgbWUXQ0vk8,Gainsbourg Bar & Event Location,47.36294639999999,8.549320999999997
ChIJAQ6pZLSgmkcRnCN_tPb8G30,Römerblick,47.36802099999999,8.559868
ChIJCSrE-VKnmkcRpRvtlRaEt6U,Bimi,47.3650713,8.548339499999999
ChIJb0RHhbWgmkcRL6oanA1tMzI,Shell,47.36790999999999,8.564432
ChIJMcJQ4kWnmkcR3gnGW8HAyos,Enoteca Riviera,47.3550003,8.5550088
ChIJqSw7QySnmkcREBm96Izphog,Quadro,47.35067590000001,8.575944900000001
ChIJ4TgY87KgmkcRIaCAdqPoHrM,La Mirada Pizzakurier,47.3677766,8.5545936
ChIJOa4HNKCgmkcRXh4VYLkhtgc,Cheti's,47.36502789999999,8.5486234
ChIJYWLEdUenmkcR5xdrwE-UoMs,Restaurant Tüfenegg,47.3553327,8.554131799999999
ChIJV6POMVOnmkcRu5EGkKFQrtI,Kaimug - Zürich - Stadelhofen,47.3653841,8.5479232
ChIJe6LeMFOnmkcR2cOwloDyUaA,Migros Restaurant - Zürich - Stadelhofen,47.3654649,8.5479404
ChIJn5mMWjunmkcRfsS7gs9_8d8,Tennisanlage Lengg,47.3500744,8.5710253
ChIJH5lL-1GnmkcRusJFXgS8qrI,Capri Bistrot,47.3603824,8.5502159
ChIJxxnI60inmkcRUrB2TeZqxzs,Restaurant Gandria,47.35697099999999,8.557530999999999
ChIJUReM0aygmkcRcRGTDNHGvyg,Brezelkönig Bahnhof Stadelhofen,47.3664114,8.548800900000002
ChIJ3RePpkinmkcRdw48OCGgMUc,Metzg,47.3558823,8.5564254
ChIJLZuHXFKnmkcRIxrG1GAwd1s,Suan Long Seefeld,47.3629683,8.5497116
ChIJe1jZiyAKkEcRw3zzUjYLWeE,Hotel Neufeld,47.3695504,8.513715900000001
ChIJlbiAmAYKkEcRPVcmFNjjHyw,Hotel Glockenhof,47.37290499999999,8.536533
ChIJnfoNvgQKkEcRt0g7rQ2msxY,Helvetia,47.37308059999999,8.5316546
ChIJj0XE0AUKkEcRPX86cWdJQiE,Hotel City Zürich,47.37487600000001,8.536415
